Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,61,2005-03-23,27-238,SAS,@,IND,L (-7),1,25:00,2,9,.222,0,3,.000,7,8,.875,0,2,2,2,1,1,1,2,11,7.0,-13
62,62,2005-03-25,27-240,SAS,,ATL,W (+16),1,29:00,6,12,.500,1,3,.333,10,13,.769,0,8,8,6,1,0,2,2,23,20.6,+14
63,63,2005-03-27,27-242,SAS,,HOU,W (+13),1,37:00,5,14,.357,0,3,.000,8,9,.889,0,3,3,4,5,0,3,2,18,14.7,+16
64,64,2005-03-30,27-245,SAS,,SEA,W (+13),1,32:00,5,14,.357,0,4,.000,5,6,.833,2,4,6,4,1,1,1,3,15,11.7,+6
65,65,2005-04-01,27-247,SAS,@,DEN,L (-18),1,25:00,1,8,.125,1,2,.500,10,12,.833,4,5,9,6,0,0,2,4,13,11.9,-1
66,66,2005-04-02,27-248,SAS,,LAL,W (+1),1,31:00,4,12,.333,0,4,.000,0,1,.000,0,8,8,6,2,1,7,3,8,1.9,+4
67,67,2005-04-06,27-252,SAS,,LAC,W (+9),1,21:00,5,7,.714,2,2,1.000,4,4,1.000,0,3,3,2,1,0,0,2,16,15.6,+22
68,68,2005-04-07,27-253,SAS,@,DAL,L (-36),1,17:00,1,9,.111,0,2,.000,0,4,.000,1,3,4,2,2,0,0,1,2,-0.9,-17
69,69,2005-04-09,27-255,SAS,@,LAC,W (+1),1,50:00,12,27,.444,4,9,.444,12,14,.857,1,5,6,9,1,0,3,4,40,30.0,+9
70,70,2005-04-12,27-258,SAS,,POR,W (+6),1,34:00,10,16,.625,4,5,.800,6,12,.500,3,4,7,4,3,1,1,3,30,28.0,+16
71,71,2005-04-13,27-259,SAS,@,UTA,L (-2),1,30:00,4,7,.571,1,2,.500,12,13,.923,0,2,2,3,0,0,3,4,21,15.4,+16
72,72,2005-04-16,27-262,SAS,,MEM,W (+22),1,19:00,3,4,.750,0,1,.000,7,8,.875,0,0,0,1,1,0,3,4,13,8.1,+9
73,73,2005-04-18,27-264,SAS,@,MEM,L (-2),1,33:00,5,13,.385,1,5,.200,5,5,1.000,2,1,3,8,1,1,3,3,16,13.7,-7
74,74,2005-04-20,27-266,SAS,@,MIN,L (-22),1,22:00,1,3,.333,1,1,1.000,0,2,.000,0,4,4,2,1,0,1,0,3,3.1,-15
